1. Raw captured requests total: 923
2. Unique method + full URL count: 256
3. Unique normalized endpoints (method + path template + query shape): 148

4. Category Totals:
   - jobs list/filter          : 8 unique endpoints
   - job detail                : 33 unique endpoints
   - users/assignment          : 10 unique endpoints
   - contacts                  : 15 unique endpoints
   - financials                : 19 unique endpoints
   - documents/files/photos    : 10 unique endpoints
   - notes/activity            : 5 unique endpoints
   - webhook/config            : 1 unique endpoints
   - other                     : 47 unique endpoints

=== FULL DEDUPED INVENTORY TABLE ===
| Category | Method | Normalized Path | Query Params Structure | Type Guess | Count | Example URL |
| contacts | POST | /api/jobs/{uuid}/UpdateContact | (none) | json | 1 | /api/jobs/ea2d3425-8049-4902-9632-3e9df8043d7b/UpdateContact |
| financials | GET | /api/v3/finance/{uuid}/get-overview-loan-data | (none) | json | 2 | /api/v3/finance/ea2d3425-8049-4902-9632-3e9df8043d7b/get-overview-loan-data |
| financials | GET | /api/jobs/{uuid}/financial-progress | (none) | json | 13 | /api/jobs/ea2d3425-8049-4902-9632-3e9df8043d7b/financial-progress |
| financials | GET | /api/Estimatev3/GetEstimates/{uuid} | (none) | json | 2 | /api/Estimatev3/GetEstimates/ea2d3425-8049-4902-9632-3e9df8043d7b |
| financials | GET | /api/v3/finance/{uuid}/get-as-low-as-information | (none) | json | 2 | /api/v3/finance/ea2d3425-8049-4902-9632-3e9df8043d7b/get-as-low-as-information |
| financials | GET | /api/EstimateV3/GetEstimatePermissions | (none) | json | 3 | /api/EstimateV3/GetEstimatePermissions |
| financials | GET | /api/EstimateV3/{uuid}/GetEstimates | (none) | json | 2 | /api/EstimateV3/ea2d3425-8049-4902-9632-3e9df8043d7b/GetEstimates |
| financials | GET | /api/EstimateV3/GetEstimatePreviewInformation/{uuid} | (none) | json | 1 | /api/EstimateV3/GetEstimatePreviewInformation/ea2d3425-8049-4902-9632-3e9df8043d7b |
| financials | GET | /api/EstimateV3/{uuid} | (none) | json | 1 | /api/EstimateV3/b993e543-b7d8-c9d4-aaf6-7a310a617a31 |
| financials | GET | /api/EstimateV3/GetCompanyTaxRates | (none) | json | 1 | /api/EstimateV3/GetCompanyTaxRates |
| financials | POST | /api/EstimateV3/ | (none) | json | 1 | /api/EstimateV3/ |
| financials | GET | /api/jobs/{uuid}/financial-total-for-worksheet | (none) | json | 7 | /api/jobs/ea2d3425-8049-4902-9632-3e9df8043d7b/financial-total-for-worksheet |
| financials | GET | /api/v4/financial-worksheet/{uuid} | (none) | json | 1 | /api/v4/financial-worksheet/ea2d3425-8049-4902-9632-3e9df8043d7b |
| financials | GET | /api/jobs/{uuid}/financial-total-for-invoice | (none) | json | 7 | /api/jobs/ea2d3425-8049-4902-9632-3e9df8043d7b/financial-total-for-invoice |
| financials | GET | /api/jobs/{uuid}/invoices/ | (none) | json | 1 | /api/jobs/ea2d3425-8049-4902-9632-3e9df8043d7b/invoices/ |
